image_id,width,height,numerosity,TSA,FA,CH,cumArea,role,pair_num,target_low,target_high,pair_ratio,image_file,position,greater_role,greater_side,pair_order
11210,100,100,14,3028.568115234375,11879.021484375,9498,2758,partner,276,0.5,0.6,0.5714285714285714,paired_images/img_11210.png,right,partner,right,26
15596,100,100,20,2559.607177734375,25298.220703125,21746,2260,anchor,289,0.5,0.6,0.5,paired_images/img_15596.png,left,anchor,left,27
5560,100,100,10,1917.538818359375,15042.412109375,10348,1970,partner,289,0.5,0.6,0.5,paired_images/img_05560.png,right,anchor,left,27
911,100,100,7,2021.3267822265625,7483.31494140625,7116,2219,anchor,94,0.8,0.9,0.875,paired_images/img_00911.png,left,partner,right,28
1919,100,100,8,1527.9793701171875,13454.3427734375,8502,1576,partner,94,0.8,0.9,0.875,paired_images/img_01919.png,right,partner,right,28
18709,100,100,25,2549.509765625,26696.796875,22257,2825,anchor,230,0.6,0.7,0.64,paired_images/img_18709.png,left,anchor,left,29
13148,100,100,16,3634.16796875,11986.45703125,11655,4048,partner,230,0.6,0.7,0.64,paired_images/img_13148.png,right,anchor,left,29
5518,100,100,10,1917.538818359375,11939.1708984375,9445,1970,anchor,7,0.8,0.9,0.8333333333333334,paired_images/img_05518.png,left,partner,right,30
8983,100,100,12,2225.46435546875,10380.576171875,8333,2364,partner,7,0.8,0.9,0.8333333333333334,paired_images/img_08983.png,right,partner,right,30
13284,100,100,16,3850.266845703125,12699.2080078125,12072,4048,anchor,18,0.8,0.9,0.8,paired_images/img_13284.png,left,partner,right,31
16797,100,100,20,4560.70166015625,14198.146484375,15800,5060,partner,18,0.8,0.9,0.8,paired_images/img_16797.png,right,partner,right,31
13209,100,100,16,3634.16796875,16951.41015625,14505,4048,anchor,269,0.6,0.7,0.625,paired_images/img_13209.png,left,anchor,left,32
6125,100,100,10,2559.607177734375,9476.1259765625,8537,2530,partner,269,0.6,0.7,0.625,paired_images/img_06125.png,right,anchor,left,32
20914,100,100,28,3399.452880859375,28253.234375,26110,3164,anchor,37,0.8,0.9,0.8928571428571429,paired_images/img_20914.png,left,anchor,left,33
19588,100,100,25,3819.948486328125,22449.240234375,21063,3725,partner,37,0.8,0.9,0.8928571428571429,paired_images/img_19588.png,right,anchor,left,33
10298,100,100,14,2021.3267822265625,11879.021484375,9659,2086,anchor,38,0.8,0.9,0.8571428571428571,paired_images/img_10298.png,left,anchor,left,34
